Chat3-4,July 2022,,,,,,,,
160,m Design Depth,,,,,,,,
,,,,,,,,,
,Weight ,Wet Weight ,Length ,Inst. Height,Net Weight ,Inst. Depth,,,
,(kg),(kg),(m),off btm (m),below float (m),(m),,,
,,,,,,,,,
AF44↑ w WH150+SBE37 ODO,452.00,-283.00,2.13,10.02,,149.98,,,
"1/2"" Shackle",0.37,0.32,0.05,,,,,,
"1/2"" Shackle",0.37,0.32,0.05,,,,,,
MillerC3,1.23,1.07,0.15,,,,,,
"1/2"" Shackle",0.37,0.32,0.05,,,,,,
"5/8"" Shackle",0.76,0.67,0.06,,,,,,
AR861 B2S,30.00,22.00,0.83,7.83,,,,,
Drop Link,2.3,2.01,,,,,,,
"1"" Polysteel",1.43,-0.18,5.00,,,,,,
"7/8"" Shackle",1.8,1.57,,,,,,,
"1"" Chain",38.64,33.71,2.00,,,,,,
estimated Amsteel II+ stretch   ,0.50%,,,,,,,,
,,,,,,,,,
